timestamp_ms,cpu_percent,memory_mb
1759277280000,0.00,7.71
1759277340000,0.58,8.15
1759277400000,1.04,8.18
1759277460000,0.68,8.19
1759277520000,0.44,8.20
1759277580000,0.90,8.21
1759277640000,0.48,8.22
1759277700000,0.91,8.24
1759277760000,0.73,8.26
1759277820000,0.80,8.28
1759277880000,0.56,8.29
1759277940000,0.62,8.29
1759278000000,0.81,8.30
1759278060000,0.79,8.32
1759278120000,0.69,8.34
1759278180000,1.39,8.38
1759278240000,0.71,8.39
1759278300000,0.52,8.39
1759278360000,0.60,8.41
1759278420000,0.55,8.42
1759278480000,0.53,8.43
1759278540000,1.07,8.45
1759278600000,0.64,8.46
1759278660000,1.11,8.49
1759278720000,0.71,8.50
1759278780000,0.78,8.52
1759278840000,0.77,8.54
1759278900000,0.82,8.55
1759278960000,0.63,8.55
1759279020000,0.64,8.57
1759279080000,0.52,8.57
1759279140000,0.83,8.59
1759279200000,0.49,8.60
1759279260000,0.62,8.61
1759279320000,1.21,8.65
1759279380000,0.63,8.66
1759279440000,0.46,8.66
1759279500000,0.75,8.68
1759279560000,0.62,8.69
1759279620000,1.00,8.72
1759279680000,0.56,8.73
1759279740000,0.50,8.74
1759279800000,0.81,8.75
1759279860000,0.72,8.76
1759279920000,0.66,8.78
1759279980000,0.49,8.79
1759280040000,1.47,8.81
1759280100000,0.79,8.82
1759280160000,0.60,8.84
1759280220000,0.53,8.85
1759280280000,0.47,8.86
1759280340000,0.67,8.87
1759280400000,1.29,8.90
1759280460000,0.59,8.91
1759280520000,0.50,8.92
1759280580000,0.75,8.93
1759280640000,0.59,8.95
1759280700000,0.69,8.96
1759280760000,0.88,8.98
1759280820000,0.78,8.99
1759280880000,0.46,9.00
1759280940000,0.80,9.02
1759281000000,1.89,9.07
1759281060000,0.85,9.07
1759281120000,0.53,9.08
1759281180000,0.47,9.09
1759281240000,0.53,9.11
1759281300000,0.60,9.12
1759281360000,1.39,9.15
1759281420000,0.69,9.16
1759281480000,1.00,9.18
1759281540000,1.02,9.21
1759281600000,0.88,9.22
1759281660000,0.89,9.23
1759281720000,0.89,9.25
1759281780000,0.96,9.27
1759281840000,1.01,9.29
1759281900000,0.83,9.30
1759281960000,0.71,9.32
1759282020000,0.68,9.33
1759282080000,0.66,9.34
1759282140000,1.10,9.37
1759282200000,0.64,9.39
1759282260000,0.62,9.40
1759282320000,0.47,9.40
1759282380000,0.37,9.41
1759282440000,0.78,9.42
1759282500000,0.99,9.44
1759282560000,0.71,9.45
1759282620000,0.87,9.47
1759282680000,0.55,9.48
1759282740000,0.80,9.50
1759282800000,0.94,9.51
1759282860000,0.73,9.53
1759282920000,1.02,9.55
1759282980000,0.95,9.57
1759283040000,1.26,9.61
1759283100000,1.07,9.62
1759283160000,1.90,9.66
1759283220000,1.01,9.68
1759283280000,0.80,9.69
1759283340000,0.89,9.71
1759283400000,0.69,9.71
1759283460000,0.92,9.72
1759283520000,1.38,9.75
1759283580000,0.74,9.76
1759283640000,0.94,9.77
1759283700000,1.34,9.77
1759283760000,1.40,9.79
1759283820000,0.57,9.79
1759283880000,0.56,9.80
1759283940000,0.58,9.80
1759284000000,1.51,9.84
1759284060000,0.68,9.84
1759284120000,1.73,9.86
1759284180000,1.47,9.86
1759284240000,1.04,9.87
1759284300000,1.26,9.88
1759284360000,1.11,9.88
1759284420000,0.71,9.88
1759284480000,0.73,9.89
1759284540000,0.62,9.89
1759284600000,1.55,9.90
1759284660000,0.86,9.91
1759284720000,0.89,9.92
1759284780000,1.13,9.92
1759284840000,0.54,9.92
1759284900000,0.57,9.93
1759284960000,0.83,9.93
1759285020000,0.71,9.94
1759285080000,0.57,9.94
1759285140000,1.79,9.94
1759285200000,0.83,9.95
1759285260000,0.69,9.95
1759285320000,0.83,9.95
1759285380000,0.52,9.96
1759285440000,0.63,9.96
1759285500000,0.53,9.96
1759285560000,0.63,9.97
1759285620000,0.73,9.97
1759285680000,0.64,9.98
1759285740000,0.56,9.98
1759285800000,1.01,9.99
1759285860000,1.14,10.00
1759285920000,0.68,10.00
1759285980000,0.70,10.01
1759286040000,0.46,10.01
1759286100000,0.71,10.01
1759286160000,0.81,10.01
1759286220000,0.42,10.02
1759286280000,0.43,10.02
1759286340000,0.48,10.02
1759286400000,1.36,10.03
1759286460000,0.58,10.03
1759286520000,0.50,10.04
1759286580000,0.38,10.04
1759286640000,0.52,10.04
1759286700000,1.03,10.05
1759286760000,0.61,10.05
1759286820000,0.67,10.06
1759286880000,0.75,10.07
1759286940000,0.78,10.07
1759287000000,1.12,10.07
1759287060000,0.86,10.08
1759287120000,0.66,10.09
1759287180000,1.01,10.09
1759287240000,1.37,10.10
1759287300000,1.08,10.11
1759287360000,0.80,10.11
1759287420000,1.09,10.13
1759287480000,0.86,10.13
1759287540000,0.63,10.14
1759287600000,1.17,10.14
1759287660000,0.62,10.15
1759287720000,1.19,10.15
1759287780000,1.30,10.16
1759287840000,0.82,10.16
1759287900000,0.66,10.16
1759287960000,1.10,10.18
1759288020000,0.45,10.18
1759288080000,0.85,10.19
1759288140000,0.49,10.19
1759288200000,0.93,10.20
1759288260000,0.68,10.20
1759288320000,0.44,10.21
1759288380000,0.63,10.21
1759288440000,0.71,10.22
1759288500000,1.40,10.23
1759288560000,0.79,10.23
1759288620000,0.84,10.24
1759288680000,1.23,10.25
1759288740000,0.67,10.26
1759288800000,1.05,10.27
1759288860000,0.96,10.28
1759288920000,1.39,10.29
1759288980000,1.27,10.29
1759289040000,0.82,10.30
1759289100000,1.01,10.32
1759289160000,0.61,10.32
1759289220000,0.83,10.33
1759289280000,1.30,10.34
1759289340000,1.21,10.34
1759289400000,0.90,10.35
1759289460000,1.73,10.35
1759289520000,0.97,10.36
1759289580000,0.72,10.36
1759289640000,0.78,10.36
1759289700000,0.71,10.36
1759289760000,0.57,10.36
1759289820000,0.83,10.36
1759289880000,0.76,10.37
1759289940000,0.67,10.37
1759290000000,0.74,10.37
1759290060000,0.78,10.38
1759290120000,0.99,10.39
1759290180000,1.32,10.39
1759290240000,0.71,10.39
1759290300000,2.02,10.39
1759290360000,0.89,10.40
1759290420000,0.96,10.41
1759290480000,1.42,10.41
1759290540000,1.39,10.42
1759290600000,1.42,10.42
1759290660000,1.19,10.43
1759290720000,1.57,10.43
1759290780000,0.99,10.44
1759290840000,1.73,10.44
1759290900000,0.80,10.45
1759290960000,0.62,10.45
1759291020000,0.68,10.45
1759291080000,0.74,10.46
1759291140000,1.25,10.46
1759291200000,3.00,10.47
1759291260000,1.39,10.48
1759291320000,1.19,10.48
1759291380000,0.98,10.49
1759291440000,0.54,10.49
1759291500000,2.04,10.51
1759291560000,0.89,10.51
1759291620000,0.70,10.52
1759291680000,0.89,10.52
1759291740000,1.22,10.53
1759291800000,1.33,10.54
1759291860000,0.70,10.55
1759291920000,0.58,10.55
1759291980000,0.78,10.55
1759292040000,0.79,10.56
1759292100000,1.19,10.56
1759292160000,0.64,10.56
1759292220000,0.47,10.57
1759292280000,1.36,10.57
1759292340000,1.49,10.59
1759292400000,1.45,10.59
1759292460000,1.21,10.61
1759292520000,1.09,10.61
1759292580000,1.08,10.61
1759292640000,0.65,10.62
1759292700000,0.75,10.62
1759292760000,0.50,10.62
1759292820000,0.60,10.62
1759292880000,0.42,10.62
1759292940000,0.90,10.62
1759293000000,1.75,10.63
1759293060000,0.86,10.64
1759293120000,1.34,10.64
1759293180000,1.34,10.65
1759293240000,1.14,10.65
1759293300000,0.70,10.66
1759293360000,0.62,10.66
1759293420000,0.91,10.66
1759293480000,0.51,10.66
1759293540000,0.55,10.67
1759293600000,0.58,10.67
1759293660000,0.63,10.67
1759293720000,0.51,10.67
1759293780000,0.74,10.68
1759293840000,0.57,10.68
1759293900000,0.55,10.68
1759293960000,0.43,10.68
1759294020000,0.64,10.68
1759294080000,0.59,10.70
1759294140000,0.93,10.70
1759294200000,0.85,10.70
1759294260000,0.65,10.70
1759294320000,0.60,10.70
1759294380000,1.60,10.71
1759294440000,0.72,10.71
1759294500000,0.50,10.71
