timestamp_ms,cpu_percent,memory_mb
1759294560000,0.69,10.72
1759294620000,0.64,10.72
1759294680000,0.61,10.72
1759294740000,0.42,10.72
1759294800000,1.17,10.73
1759294860000,0.84,10.73
1759294920000,0.81,10.73
1759294980000,0.64,10.74
1759295040000,0.67,10.75
1759295100000,0.58,10.75
1759295160000,0.48,10.75
1759295220000,1.16,10.75
1759295280000,0.69,10.76
1759295340000,0.94,10.76
1759295400000,0.74,10.77
1759295460000,1.68,10.77
1759295520000,1.17,10.78
1759295580000,0.83,10.79
1759295640000,0.71,10.79
1759295700000,0.85,10.79
1759295760000,0.51,10.80
1759295820000,0.55,10.80
1759295880000,0.83,10.80
1759295940000,0.75,10.80
1759296000000,0.71,10.81
1759296060000,1.00,10.81
1759296120000,0.68,10.81
1759296180000,0.74,10.82
1759296240000,0.51,10.82
1759296300000,0.56,10.82
1759296360000,0.71,10.83
1759296420000,0.55,10.83
1759296480000,0.50,10.83
1759296540000,0.37,10.83
1759296600000,0.58,10.83
1759296660000,0.58,10.83
1759296720000,0.68,10.84
1759296780000,0.62,10.84
1759296840000,0.63,10.84
1759296900000,0.71,10.85
1759296960000,0.51,10.85
1759297020000,0.45,10.85
1759297080000,0.39,10.86
1759297140000,0.54,10.86
1759297200000,0.46,10.86
1759297260000,0.75,10.86
1759297320000,0.41,10.86
1759297380000,0.48,10.86
1759297440000,0.33,10.87
1759297500000,0.50,10.87
1759297560000,0.37,10.87
1759297620000,0.33,10.87
1759297680000,0.46,10.88
1759297740000,0.46,10.88
1759297800000,0.60,10.88
1759297860000,0.63,10.88
1759297920000,0.42,10.88
1759297980000,0.56,10.88
1759298040000,0.52,10.88
1759298100000,0.42,10.88
1759298160000,0.64,10.89
1759298220000,0.47,10.89
1759298280000,0.56,10.89
1759298340000,0.55,10.89
1759298400000,1.49,10.90
1759298460000,0.94,10.91
1759298520000,0.60,10.91
1759298580000,0.72,10.91
1759298640000,0.89,10.91
1759298700000,0.50,10.91
1759298760000,0.66,10.92
1759298820000,0.49,10.92
1759298880000,0.83,10.92
1759298940000,1.11,10.93
1759299000000,1.20,10.93
1759299060000,0.45,10.93
1759299120000,0.41,10.94
1759299180000,0.55,10.94
1759299240000,0.36,10.94
1759299300000,0.74,10.94
1759299360000,0.44,10.95
1759299420000,0.94,10.95
1759299480000,0.89,10.96
1759299540000,0.70,10.96
1759299600000,1.19,10.96
1759299660000,0.66,10.96
1759299720000,1.00,10.97
1759299780000,1.80,10.98
1759299840000,0.87,10.98
1759299900000,0.67,10.98
1759299960000,0.78,10.99
1759300020000,0.76,10.99
1759300080000,0.59,10.99
1759300140000,0.53,10.99
1759300200000,0.98,11.00
1759300260000,0.82,11.01
1759300320000,0.59,11.01
1759300380000,0.49,11.01
1759300440000,0.48,11.01
1759300500000,0.56,11.02
1759300560000,0.61,11.02
1759300620000,0.51,11.02
1759300680000,0.48,11.02
1759300740000,0.48,11.02
1759300800000,0.92,11.03
1759300860000,0.80,11.04
1759300920000,0.78,11.04
1759300980000,0.57,11.04
1759301040000,0.57,11.04
1759301100000,0.86,11.04
1759301160000,1.11,11.05
1759301220000,1.39,11.05
1759301280000,0.66,11.05
1759301340000,0.57,11.06
1759301400000,0.83,11.07
1759301460000,1.05,11.07
1759301520000,0.73,11.08
1759301580000,0.57,11.08
1759301640000,0.70,11.08
1759301700000,0.89,11.09
1759301760000,0.65,11.09
1759301820000,0.50,11.09
1759301880000,0.54,11.09
1759301940000,0.52,11.10
1759302000000,2.12,11.11
1759302060000,1.19,11.12
1759302120000,0.80,11.12
1759302180000,0.82,11.12
1759302240000,0.96,11.12
1759302300000,0.89,11.12
1759302360000,0.97,11.12
1759302420000,0.78,11.12
1759302480000,0.68,11.13
1759302540000,0.69,11.13
1759302600000,0.86,11.13
1759302660000,0.65,11.14
1759302720000,0.75,11.14
1759302780000,0.87,11.14
1759302840000,0.61,11.14
1759302900000,1.22,11.14
1759302960000,1.51,11.15
1759303020000,1.35,11.16
1759303080000,1.16,11.16
1759303140000,0.81,11.16
1759303200000,0.89,11.16
1759303260000,1.02,11.16
1759303320000,0.83,11.16
1759303380000,0.59,11.16
1759303440000,0.79,11.16
1759303500000,0.77,11.16
1759303560000,0.62,11.16
1759303620000,0.80,11.16
1759303680000,0.99,11.16
1759303740000,0.60,11.16
1759303800000,0.95,11.16
1759303860000,1.41,11.17
1759303920000,1.29,11.17
1759303980000,1.01,11.17
1759304040000,0.69,11.17
1759304100000,1.06,11.17
1759304160000,0.72,11.17
1759304220000,0.81,11.17
1759304280000,0.75,11.17
1759304340000,0.59,11.17
1759304400000,0.83,11.17
1759304460000,0.58,11.17
1759304520000,1.07,11.17
1759304580000,0.83,11.18
1759304640000,0.82,11.18
1759304700000,1.26,11.18
1759304760000,1.42,11.18
1759304820000,1.10,11.18
1759304880000,0.74,11.18
1759304940000,0.58,11.18
1759305000000,0.60,11.18
1759305060000,0.91,11.18
1759305120000,0.83,11.18
1759305180000,0.59,11.18
1759305240000,0.76,11.18
1759305300000,0.79,11.18
1759305360000,0.92,11.18
1759305420000,0.61,11.18
1759305480000,0.74,11.18
1759305540000,0.64,11.19
1759305600000,1.30,11.19
1759305660000,0.87,11.19
1759305720000,0.85,11.19
1759305780000,0.71,11.19
1759305840000,0.56,11.19
1759305900000,0.62,11.19
1759305960000,0.73,11.19
1759306020000,0.54,11.19
1759306080000,0.65,11.20
1759306140000,1.39,11.20
1759306200000,1.26,11.20
1759306260000,0.68,11.20
1759306320000,0.64,11.20
1759306380000,0.85,11.20
1759306440000,0.69,11.20
1759306500000,0.81,11.20
1759306560000,0.68,11.20
1759306620000,0.62,11.21
1759306680000,0.88,11.21
1759306740000,1.27,11.21
1759306800000,3.41,11.21
1759306860000,2.55,11.21
1759306920000,1.33,11.22
1759306980000,1.24,11.22
1759307040000,0.91,11.22
1759307100000,1.37,11.22
1759307160000,0.97,11.22
1759307220000,2.53,11.22
1759307280000,3.13,11.23
1759307340000,2.34,11.23
1759307400000,5.57,11.24
1759307460000,7.16,11.25
1759307520000,3.80,11.26
1759307580000,2.40,11.26
1759307640000,2.25,11.26
1759307700000,4.59,11.27
1759307760000,5.04,11.28
1759307820000,2.05,11.29
1759307880000,2.59,11.29
1759307940000,4.82,11.29
1759308000000,3.39,11.30
1759308060000,6.56,11.31
1759308120000,5.68,11.32
1759308180000,3.57,11.33
1759308240000,7.38,11.34
1759308300000,7.92,11.36
1759308360000,7.40,11.37
1759308420000,3.80,11.38
1759308480000,5.76,11.38
1759308540000,4.32,11.39
1759308600000,17.28,11.43
1759308660000,7.86,11.44
1759308720000,6.52,11.45
1759308780000,5.55,11.46
1759308840000,5.39,11.46
1759308900000,3.15,11.47
1759308960000,2.82,11.48
1759309020000,3.06,11.48
1759309080000,2.97,11.48
1759309140000,2.22,11.50
1759309200000,3.95,11.50
1759309260000,2.73,11.50
1759309320000,2.73,11.51
1759309380000,3.06,11.51
1759309440000,3.13,11.52
1759309500000,2.46,11.53
1759309560000,2.67,11.54
1759309620000,3.55,11.54
1759309680000,2.51,11.55
1759309740000,2.63,11.55
1759309800000,3.71,11.57
1759309860000,2.52,11.57
1759309920000,2.41,11.58
1759309980000,2.67,11.58
1759310040000,2.10,11.59
1759310100000,1.52,11.59
1759310160000,1.90,11.59
1759310220000,1.94,11.60
1759310280000,1.49,11.60
1759310340000,2.64,11.61
1759310400000,2.26,11.62
1759310460000,2.28,11.62
1759310520000,1.67,11.62
1759310580000,1.48,11.62
1759310640000,1.03,11.62
1759310700000,1.62,11.63
1759310760000,2.14,11.63
1759310820000,1.90,11.64
1759310880000,2.14,11.64
1759310940000,2.18,11.65
1759311000000,3.77,11.65
1759311060000,2.19,11.66
1759311120000,2.05,11.66
1759311180000,1.96,11.66
1759311240000,3.26,11.68
1759311300000,2.53,11.69
1759311360000,1.84,11.69
1759311420000,2.26,11.69
1759311480000,2.08,11.70
1759311540000,2.71,11.70
1759311600000,2.68,11.72
1759311660000,2.50,11.72
1759311720000,1.44,11.73
1759311780000,1.25,11.73
1759311840000,1.84,11.73
1759311900000,2.20,11.73
1759311960000,1.33,11.74
1759312020000,1.25,11.75
1759312080000,2.04,11.75
1759312140000,1.46,11.75
1759312200000,1.21,11.76
1759312260000,1.12,11.76
1759312320000,0.87,11.76
1759312380000,0.91,11.76
1759312440000,1.13,11.76
1759312500000,1.87,11.77
1759312560000,1.50,11.77
1759312620000,1.17,11.77
1759312680000,0.96,11.77
1759312740000,0.93,11.77
1759312800000,1.81,11.77
1759312860000,1.40,11.78
1759312920000,2.60,11.78
1759312980000,1.46,11.79
1759313040000,1.46,11.79
1759313100000,0.90,11.79
1759313160000,1.61,11.79
1759313220000,1.50,11.80
1759313280000,1.64,11.80
1759313340000,1.70,11.80
1759313400000,1.47,11.80
1759313460000,2.37,11.80
1759313520000,1.82,11.80
1759313580000,1.89,11.80
1759313640000,2.11,11.81
1759313700000,1.70,11.81
1759313760000,1.03,11.81
1759313820000,1.12,11.81
1759313880000,0.98,11.81
1759313940000,0.69,11.81
1759314000000,0.73,11.81
1759314060000,0.65,11.81
1759314120000,0.58,11.81
1759314180000,0.77,11.81
1759314240000,0.77,11.81
1759314300000,1.09,11.81
1759314360000,0.90,11.81
1759314420000,0.88,11.81
1759314480000,0.97,11.81
1759314540000,0.77,11.81
1759314600000,1.78,11.81
1759314660000,1.14,11.81
1759314720000,0.83,11.81
1759314780000,1.16,11.82
1759314840000,0.68,11.82
1759314900000,0.71,11.82
1759314960000,1.08,11.82
1759315020000,0.86,11.82
1759315080000,1.03,11.82
1759315140000,1.22,11.82
1759315200000,0.73,11.82
1759315260000,0.95,11.82
1759315320000,0.50,11.82
1759315380000,0.57,11.82
1759315440000,1.12,11.82
1759315500000,1.21,11.82
1759315560000,1.33,11.82
1759315620000,1.14,11.82
1759315680000,0.74,11.82
1759315740000,1.12,11.82
1759315800000,1.46,11.82
1759315860000,0.94,11.82
1759315920000,0.82,11.82
1759315980000,0.62,11.82
1759316040000,1.24,11.82
1759316100000,0.89,11.82
1759316160000,0.80,11.82
1759316220000,0.69,11.82
1759316280000,1.05,11.82
1759316340000,0.66,11.82
1759316400000,1.36,11.82
1759316460000,0.84,11.82
1759316520000,0.83,11.82
1759316580000,0.59,11.83
1759316640000,1.01,11.83
1759316700000,0.89,11.83
1759316760000,0.90,11.83
1759316820000,0.98,11.83
1759316880000,2.33,11.83
1759316940000,2.46,11.83
1759317000000,1.31,11.83
1759317060000,0.75,11.83
1759317120000,1.21,11.83
1759317180000,1.14,11.83
1759317240000,1.20,11.83
1759317300000,0.99,11.83
1759317360000,0.84,11.83
1759317420000,1.00,11.83
1759317480000,0.81,11.83
1759317540000,0.70,11.83
1759317600000,0.72,11.83
1759317660000,1.07,11.83
1759317720000,1.48,11.83
1759317780000,1.08,11.83
1759317840000,0.78,11.83
1759317900000,0.90,11.83
1759317960000,0.82,11.83
1759318020000,0.59,11.83
1759318080000,0.64,11.83
1759318140000,0.60,11.83
1759318200000,0.62,11.83
1759318260000,1.14,11.83
1759318320000,1.77,11.83
1759318380000,1.03,11.83
1759318440000,0.91,11.83
1759318500000,0.79,11.83
1759318560000,0.62,11.83
1759318620000,0.86,11.83
1759318680000,1.03,11.83
1759318740000,0.80,11.83
1759318800000,0.59,11.83
1759318860000,0.91,11.83
1759318920000,0.99,11.83
1759318980000,2.01,11.83
1759319040000,1.11,11.83
1759319100000,1.07,11.83
1759319160000,0.89,11.83
1759319220000,0.95,11.83
1759319280000,1.27,11.83
1759319340000,1.00,11.83
1759319400000,1.28,11.83
1759319460000,1.24,11.83
1759319520000,0.75,11.83
1759319580000,0.55,11.83
1759319640000,0.64,11.83
1759319700000,0.73,11.83
1759319760000,1.63,11.83
1759319820000,0.84,11.83
1759319880000,1.41,11.83
1759319940000,0.72,11.83
1759320000000,3.00,11.83
1759320060000,1.86,11.83
1759320120000,1.77,11.83
1759320180000,0.92,11.83
1759320240000,1.56,11.83
1759320300000,1.32,11.83
1759320360000,1.11,11.83
1759320420000,0.82,11.83
1759320480000,0.81,11.83
1759320540000,0.86,11.83
1759320600000,0.74,11.83
1759320660000,1.12,11.83
1759320720000,1.39,11.83
1759320780000,1.04,11.83
1759320840000,0.75,11.83
1759320900000,1.78,11.83
1759320960000,3.61,11.83
1759321020000,2.32,11.83
1759321080000,2.10,11.83
1759321140000,1.71,11.83
1759321200000,0.90,11.83
1759321260000,4.46,11.83
1759321320000,2.31,11.83
1759321380000,1.47,11.83
1759321440000,1.58,11.83
1759321500000,0.86,11.83
1759321560000,1.02,11.83
1759321620000,1.21,11.83
1759321680000,1.32,11.83
1759321740000,1.14,11.83
1759321800000,1.35,11.83
1759321860000,1.16,11.83
1759321920000,1.47,11.83
1759321980000,1.76,11.83
1759322040000,1.10,11.83
1759322100000,0.75,11.83
1759322160000,0.63,11.83
1759322220000,1.11,11.83
1759322280000,1.53,11.83
1759322340000,1.00,11.83
1759322400000,1.15,11.83
1759322460000,1.02,11.83
1759322520000,1.35,11.83
1759322580000,0.72,11.83
1759322640000,0.87,11.83
1759322700000,0.91,11.83
1759322760000,0.54,11.83
1759322820000,0.76,11.83
1759322880000,0.70,11.83
1759322940000,1.29,11.83
1759323000000,1.11,11.83
1759323060000,1.27,11.83
1759323120000,2.01,11.83
1759323180000,1.30,11.83
1759323240000,1.30,11.83
1759323300000,0.81,11.83
1759323360000,0.81,11.83
1759323420000,0.85,11.83
1759323480000,0.85,11.83
1759323540000,1.42,11.83
1759323600000,2.19,11.83
1759323660000,1.29,11.83
1759323720000,0.77,11.83
1759323780000,1.07,11.83
1759323840000,1.44,11.83
1759323900000,1.10,11.83
1759323960000,0.99,11.83
1759324020000,0.94,11.83
1759324080000,0.80,11.83
1759324140000,0.70,11.83
1759324200000,1.05,11.83
1759324260000,0.98,11.83
1759324320000,1.59,11.83
1759324380000,1.19,11.83
1759324440000,1.05,11.83
1759324500000,0.94,11.83
1759324560000,0.78,11.83
1759324620000,0.90,11.83
1759324680000,1.26,11.83
1759324740000,0.95,11.83
1759324800000,0.99,11.83
1759324860000,1.21,11.83
1759324920000,1.21,11.83
1759324980000,0.93,11.83
1759325040000,0.74,11.83
1759325100000,0.92,11.83
1759325160000,1.12,11.83
1759325220000,0.76,11.83
1759325280000,0.73,11.83
1759325340000,0.61,11.83
1759325400000,2.48,11.83
1759325460000,3.56,11.83
1759325520000,2.31,11.83
1759325580000,2.04,11.83
1759325640000,1.81,11.83
1759325700000,2.24,11.83
1759325760000,1.66,11.83
1759325820000,2.48,11.83
1759325880000,2.11,11.83
1759325940000,2.23,11.83
1759326000000,2.25,11.83
1759326060000,2.04,11.83
1759326120000,1.41,11.83
1759326180000,1.63,11.83
1759326240000,1.04,11.83
1759326300000,1.57,11.83
1759326360000,2.18,11.83
1759326420000,2.28,11.83
1759326480000,2.60,11.83
1759326540000,2.00,11.83
1759326600000,1.48,11.83
1759326660000,1.75,11.83
1759326720000,1.16,11.83
1759326780000,1.64,11.83
1759326840000,1.80,11.83
1759326900000,2.03,11.83
1759326960000,0.97,11.83
1759327020000,1.70,11.83
1759327080000,0.94,11.83
1759327140000,1.57,11.83
1759327200000,4.75,11.83
1759327260000,2.72,11.83
1759327320000,4.40,11.83
1759327380000,3.68,11.83
1759327440000,4.79,11.83
1759327500000,6.04,11.83
1759327560000,2.17,11.83
1759327620000,3.13,11.83
1759327680000,3.04,11.83
1759327740000,2.03,11.83
1759327800000,2.50,11.83
1759327860000,2.43,11.83
1759327920000,2.07,11.83
1759327980000,1.78,11.83
1759328040000,1.59,11.83
1759328100000,1.39,11.83
1759328160000,2.60,11.83
1759328220000,1.69,11.83
1759328280000,2.45,11.83
1759328340000,3.11,11.83
1759328400000,2.65,11.83
1759328460000,2.57,11.83
1759328520000,2.21,11.83
1759328580000,1.47,11.83
1759328640000,1.77,11.83
1759328700000,1.55,11.83
1759328760000,2.15,11.83
1759328820000,1.63,11.83
1759328880000,1.46,11.83
1759328940000,2.06,11.83
1759329000000,1.39,11.83
1759329060000,2.65,11.83
1759329120000,2.71,11.83
1759329180000,1.97,11.83
1759329240000,2.89,11.83
1759329300000,2.14,11.83
1759329360000,2.51,11.83
1759329420000,3.07,11.83
1759329480000,1.83,11.83
1759329540000,2.06,11.83
1759329600000,3.06,11.83
1759329660000,2.81,11.83
1759329720000,2.02,11.83
1759329780000,2.34,11.83
1759329840000,1.80,11.83
1759329900000,3.68,11.83
1759329960000,1.58,11.83
1759330020000,2.86,11.83
1759330080000,2.13,11.83
1759330140000,2.11,11.83
1759330200000,1.78,11.83
1759330260000,1.54,11.83
1759330320000,1.26,11.83
1759330380000,1.70,11.83
1759330440000,1.23,11.83
1759330500000,1.21,11.83
1759330560000,1.64,11.83
1759330620000,1.49,11.83
1759330680000,0.96,11.83
1759330740000,0.82,11.83
1759330800000,1.71,11.83
1759330860000,1.23,11.83
1759330920000,1.06,11.83
1759330980000,0.88,11.83
1759331040000,0.93,11.83
1759331100000,1.00,11.83
1759331160000,1.28,11.83
1759331220000,1.72,11.83
1759331280000,1.59,11.83
1759331340000,1.75,11.83
1759331400000,0.97,11.83
1759331460000,0.79,11.83
1759331520000,1.39,11.83
1759331580000,1.17,11.83
1759331640000,1.35,11.83
1759331700000,1.20,11.83
1759331760000,0.99,11.83
1759331820000,0.90,11.83
1759331880000,1.62,11.83
1759331940000,0.95,11.83
1759332000000,0.84,11.83
1759332060000,1.25,11.83
1759332120000,1.15,11.83
1759332180000,1.45,11.83
1759332240000,0.75,11.83
1759332300000,1.19,11.83
1759332360000,0.93,11.83
1759332420000,1.05,11.83
1759332480000,2.56,11.83
1759332540000,4.35,11.83
1759332600000,2.59,11.83
1759332660000,1.98,11.83
1759332720000,2.27,11.83
1759332780000,1.28,11.83
1759332840000,2.12,11.83
1759332900000,1.18,11.83
1759332960000,1.72,11.83
1759333020000,1.37,11.83
1759333080000,1.40,11.83
1759333140000,1.12,11.83
1759333200000,1.13,11.83
1759333260000,0.87,11.83
1759333320000,0.74,11.83
1759333380000,0.95,11.83
1759333440000,0.72,11.83
1759333500000,1.59,11.83
1759333560000,1.75,11.83
1759333620000,2.01,11.83
1759333680000,1.48,11.83
1759333740000,1.49,11.83
1759333800000,1.06,11.83
1759333860000,0.88,11.83
1759333920000,0.54,11.83
1759333980000,0.57,11.83
1759334040000,0.82,11.83
1759334100000,1.07,11.83
1759334160000,0.71,11.83
1759334220000,0.66,11.83
1759334280000,0.64,11.83
1759334340000,1.23,11.83
1759334400000,2.57,11.83
1759334460000,2.17,11.83
1759334520000,1.13,11.83
1759334580000,1.74,11.83
1759334640000,1.25,11.83
1759334700000,1.50,11.83
1759334760000,1.58,11.83
1759334820000,0.83,11.83
1759334880000,1.66,11.83
1759334940000,1.23,11.83
1759335000000,1.37,11.83
1759335060000,1.40,11.83
1759335120000,1.22,11.83
1759335180000,1.66,11.83
1759335240000,1.33,11.83
1759335300000,1.66,11.83
1759335360000,1.58,11.83
1759335420000,1.19,11.83
1759335480000,0.96,11.83
1759335540000,1.05,11.83
1759335600000,1.13,11.83
1759335660000,0.80,11.83
1759335720000,1.10,11.83
1759335780000,0.86,11.83
1759335840000,0.76,11.83
1759335900000,0.70,11.83
1759335960000,0.77,11.83
1759336020000,2.40,11.83
1759336080000,2.14,11.83
1759336140000,2.12,11.83
1759336200000,1.10,11.83
1759336260000,1.20,11.83
1759336320000,1.49,11.83
1759336380000,1.30,11.83
1759336440000,0.87,11.83
1759336500000,0.94,11.83
1759336560000,0.99,11.83
1759336620000,4.13,11.83
1759336680000,4.18,11.83
1759336740000,3.83,11.83
1759336800000,3.65,11.83
1759336860000,2.05,11.83
1759336920000,1.77,11.83
1759336980000,1.25,11.83
